原材料直径,原材料壁厚,序号,分段名,管名,切断长,管端,工位
140,4.5,10,E20,E20-CL80-02,815,V,2
140,4.5,11,E20,E20-CL81-01,726,V,2
140,4.5,8,E20,E20-CH23-03,169,V,2
140,4.5,1,E20,E10-CH19-01,164,,2
140,4.5,10,E20,E20-CL80-02,138,V,3
140,4.5,8,E20,E20-CH23-03,112,V,3
140,4.5,9,E20,E20-CH24-03,106,V,3
140,4.5,7,E20,E20-CH23-01,95,V,1
140,4.5,9,E20,E20-CH24-03,89,V,1
140,4.5,10,E20,E20-CL80-02,63,V,1
140,4.5,1,E20,E20-CH23-05,30,,1
140,4.5,2,E20,E20-CH26-01,30,,1
